code accident;date;mois;ann‚e;horaire;heure;d‚partement;commune;massif;site;latitude;longitude;altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1718-66-01;30/12/2017;12;2017;13:10;13;66;porta;capcir puymorens;pic dels pedrons;42.3155 ; 1.4511;2610;40-44;SE;4;4;0;0;0;4;0;0;4;randonn‚e;ski;descente;4;sŠche;dure;lin‚aire;accidentelle soi-mˆme;130;100;120;;;
1415-09-02;03/03/2015;3;2015;15:00;15;9;l'hospitalet pres l'andorre;haute ariege;roc de carroux / voie RN 320;42.34491;1.47064;1900;40-44;SE;2;2;0;0;0;0;0;0;2;voie de communication;v‚hicule route;travers‚e;3;humide;dure;lin‚aire;naturelle;350;15;150;;;
1415-09-01;18/01/2015;1;2015;13:00;13;9;auzat;haute ariege;secteur etang du pinet;42.40591;1.23254;2440;35-39;NO;2;1;1;1;0;0;1;0;0;alpinisme;… pieds;travers‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;50;;;;;
1718-65-04;13/02/2018;2;2018;14:45;14;65;gavarnie;haute bigorre;piste gypaete / pic de la Pahule;42.4322 ; 0.149;2120;35-39;N;1;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;8;30;;;
1011-09-01;18/02/2011;2;2011;;;9;ustou;couserans;etang de la lacarde;42.44305;1.16224;2000;30-34;N;2;1;1;;;;0;0;1;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;80;350;40;;;
1112-31-01;18/02/2012;2;2012;;;31;bagnŠres de luchon;luchonnais;pic d'aubas;42.444766;0.394289;2030;30-34;NO;5;5;0;0;0;0;0;0;5;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;150;100;;;
1011-31-01;22/02/2011;2;2011;;;31;O“;;vallon d'esquierry;42.45208;0.27562;2250;35-39;SE;2;2;2;;;;2;0;0;randonn‚e;;descente;4;humide;tendre;ponctuel;naturelle;180;;;;;
1617-64-01;14/01/2017;1;2017;12:17;12;64;laruns;aspe ossau;crete de gabarderes;42.515;0.226;2300;35-39;N;3;3;2;2;0;1;1;1;1;randonn‚e;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;450;100;;;;
1718-65-02;09/01/2018;1;2018;13:30;13;65;cauterets;haute bigorre;cascade ilh‚ou;42.5210 ; 0.946;1790;30-34;N;2;1;0;0;0;1;0;1;0;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;60;;30;;;
1718-65-09;23/02/2018;2;2018;;;65;vieille aure;aure louron;versant sud pic d'aygues cluses;42.52158 ; 0.1000;2570;>45;SE;1;1;1;1;0;0;1;0;0;randonn‚e;ski;mont‚e;3;sŠche;;lin‚aire;naturelle s‚rac/corniche;140;;;;;
1718-65-05;14/02/2018;2;2018;14:45;14;65;cauterets;haute bigorre;piste asphodele / pic de Monn‚;42.5330 ; 0.1014;2600;>45;SE;3;3;3;3;0;0;3;0;0;hors-piste;snowboard;descente;3;humide;dure;lin‚aire;naturelle;800;200;;;;
1718-65-08;31/03/2018;3;2018;15:30;15;65;ferrŠre;haute bigorre;montagne d'areng / couloir le potager du retrait‚;42.545460 ; 0.275420;1900;35-39;N;3;2;1;0;1;1;1;1;0;alpinisme;… pieds;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;185;;;;;
1415-64-01;17/02/2015;2;2015;16:15;16;64;eaux bonnes;ossau;route D918 / ravin des arrious;42.57584;0.19413;1690;35-39;SO;5;5;4;4;0;1;0;3;2;randonn‚e;… pieds;travers‚e;3;humide;tendre;ponctuel;naturelle;365;;;;;
1011-65-02;08/05/2011;5;2011;10:00;10;65;gedre;haute bigorre;pic de Gabiedou;42.719622875365395;0.09459442206330827;2280;>45;NO;2;1;1;;;;1;0;0;randonn‚e;;mont‚e;;humide;tendre;lin‚aire;naturelle;100;;;;;
1415-06-01;07/12/2014;12;2014;10:45;10;6;isola;mercantour;cime lombarde;44.1215;7.0937;2600;35-39;SO;4;4;0;0;0;0;0;0;4;randonn‚e;ski;mont‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;100;20;;;
1314-06-01;26/01/2014;1;2014;10:10;10;6;st etienne tinee;mercantour;Auron sous telesiege d“me;44.12448;6.54048;2300;35-39;E;2;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;350;30;20;;;
1213-06-01;15/04/2013;4;2013;13:25;13;6;st etienne tinee;mercantour;secteur dome station auron;44.1250;6.5425;2150;30-34;E;2;1;1;1;0;0;1;0;0;hors-piste;;descente;4;humide;tendre;lin‚aire;;100;100;70;;;
1415-06-02;28/12/2014;12;2014;11:40;11;6;saint etienne de tinee;mercantour;secteur cimetiŠre des dames;44.13233;6.53277;2300;40-44;NE;3;1;1;1;0;0;1;0;0;hors-piste;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;225;15;30;;;
1718-06-01;02/03/2018;3;2018;10:30;10;6;entraunes;haut var;estenc / tˆte de cr‚pine / cabane garret;44.152 ; 6.4440;2280;35-39;E;6;6;5;4;1;1;4;1;1;randonn‚e;ski fond;arrˆt;4;sŠche;tendre;lin‚aire;;230;;110;;;
1617-06-01;07/03/2017;3;2017;12:00;12;6;isola;mercantour;sistron cloutas;44.174251;7.124020;;;;1;1;0;0;0;1;0;0;1;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-06-02;07/03/2017;3;2017;14:15;14;6;isola;mercantour;sistron cloutas;44.174251;7.124020;;;;1;1;0;0;0;1;0;0;1;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-04-01;05/03/2016;3;2016;16:40;16;4;enchastrayes;ubaye;les roubines / super sauze;44.20521;6.40454;1970;40-44;N;2;2;0;0;0;1;0;1;1;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;70;40;40;;;
1415-06-03;06/02/2015;2;2015;;;6;isola;mercantour;route accŠs isola M97;44.208854;7.111739;;;;3;3;0;0;0;0;0;0;3;voie de communication;v‚hicule route;travers‚e;4;sŠche;;;naturelle;;;;;;
1213-04-01;19/03/2013;3;2013;15:30;15;4;montclar;ubaye;face ouest dormillouse;44.24236;6.22569;2340;35-39;O;3;1;1;1;0;0;1;0;0;hors-piste;;descente;4;humide;tendre;lin‚aire;accidentelle soi-mˆme;450;150;;;;
1415-04-01;08/02/2015;2;2015;11:20;11;4;le vernet;ubaye;sommet grisonniere;44.26127980684879;6.410656893332375;1910;35-39;NO;4;1;0;0;0;1;1;0;0;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;360;50;30;;;
1516-73-02;05/01/2016;1;2016;11:50;11;73;val d'isere;haute tarentaise;super santon;44.266;6.5724;2375;35-39;SE;4;1;1;1;0;0;1;0;0;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;50;80;;;
1617-05-13;16/04/2017;4;2017;09:55;9;5;crots;embrunais parpaillon;gros ferrant;44.280698;6.273163;2270;40-44;N;2;2;0;0;0;0;0;1;1;randonn‚e;ski;descente;2;humide;dure;lin‚aire;accidentelle soi-mˆme;420;100;;;;
1617-04-01;26/03/2017;3;2017;14:10;14;4;saint paul sur ubaye;ubaye;col mirandol vallon grand;44.30154;6.47582;2480;40-44;NO;5;4;2;2;0;2;0;1;3;randonn‚e;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;50;90;45;;;
1415-06-04;16/02/2015;2;2015;10:15;10;6;saint dalmas de selvage;mercantour;route col bonnette lieudit Le Pra;44.322522;6.805413;;;;;3;2;2;0;1;0;0;3;randonn‚e;ski;mont‚e;3;;;;;;;;;;
1617-05-14;08/05/2017;5;2017;12:00;12;5;vars;queyras;couloir nord crˆte laugier;44.353838;6.452909;2950;>45;NE;1;1;0;0;0;0;1;0;0;randonn‚e;ski;mont‚e;;humide;tendre;;naturelle;450;;;;;
1617-05-09;07/03/2017;3;2017;16:00;16;5;saint andr‚ d'embrun;embrunais parpaillon;clos chardon;44.35573;6.382958;2315;>45;NE;3;2;1;1;0;1;1;0;1;hors-piste;ski;descente;4;sŠche;dure;lin‚aire;accidentelle tiers;20;50;120;;;
1112-04-01;16/02/2012;2;2012;14:45;14;4;saint paul s/ ubaye;ubaye;col girardin crˆte observatoire;44.36274;6.49429;2800;30-34;SO;4;1;0;0;0;0;0;1;0;randonn‚e;;mont‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;300;400;40;;;
1516-05-03;23/02/2016;2;2016;13:00;13;5;ceillac;queyras;vallon ste anne;44.37146;6.48645;2520;35-39;NE;20;3;1;1;0;0;1;0;2;randonn‚e;ski;descente;3;humide;tendre;lin‚aire;accidentelle soi-mˆme;80;;60;;;
1213-05-13;25/03/2013;3;2013;13:45;13;5;orcieres;champsaur;la coupa;44.37340;6.18089;2600;30-34;N;2;1;1;0;1;0;0;0;1;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;500;50;;;;
1314-04-01;17/01/2014;1;2014;14:00;14;4;uvernet fours;ubaye;pra loup teleski du lac;44.378913;6.560934;;;;2;1;1;0;1;0;1;0;0;hors-piste;ski;descente;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1415-05-04;24/01/2015;1;2015;11:40;11;5;ceillac;queyras;combe du bachas;44.38168;6.45597;2770;35-39;NE;6;6;6;6;0;0;6;0;0;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;450;200;80;;;
1011-05-07;18/03/2011;3;2011;14:00;14;5;ceillac;queyras;ravin clausis;44.38329;6.51409;2300;30-34;N;2;1;1;;;;1;0;0;randonn‚e;;descente;4;sŠche;dure;lin‚aire;accidentelle soi-mˆme;50;90;50;;;
1213-05-16;13/04/2013;4;2013;13:00;13;5;orcieres;champsaur;mourre froid;44.3839;6.2338;2750;30-34;N;2;2;1;1;0;1;1;0;1;randonn‚e;;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;250;200;40;;;
1213-05-15;13/04/2013;4;2013;10:00;10;5;orcieres;champsaur;mourre froid;44.38396;6.23533;2500;30-34;NO;1;1;0;0;0;1;0;0;1;randonn‚e;;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;200;60;70;;;
1718-05-04;18/02/2018;2;2018;12:00;12;5;orciŠres;champsaur;pic de barle;44.384 ; 6.1922;2610;35-39;NO;1;1;1;0;1;0;0;0;1;randonn‚e;ski;mont‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;120;200;;;;
1112-05-04;24/03/2012;3;2012;11:30;11;5;saint veran;queyras;pas de la cula;44.39326;6.54389;2980;35-39;NO;7;1;0;0;0;0;0;1;0;randonn‚e;;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;50;80;80;;;
1718-05-01;08/12/2017;12;2017;15:15;15;5;saint v‚ran;queyras;pointe des marcelettes;44.405 ; 6.515;2550;35-39;NO;2;1;0;0;0;0;0;1;0;randonn‚e;ski;descente;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;200;30;40;;;
1415-05-06;08/02/2015;2;2015;13:30;13;5;molines en queyras;queyras;route col agnel;44.41530;6.56558;2340;30-34;SO;1;1;1;1;0;0;1;0;0;randonn‚e;raquettes;travers‚e;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;50;120;120;;;
1112-26-01;05/02/2012;2;2012;12:55;12;26;glandage;vercors;jocou;44.424337;5.385103;1680;30-34;S;3;2;1;1;0;1;1;1;0;randonn‚e;;mont‚e;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;140;40;100;;;
1718-05-09;22/03/2018;3;2018;10:35;10;5;champcella;pelvoux;vallon de la selle / tˆte de vautisse;44.425 ; 6.2927;2900;30-34;E;2;2;1;1;0;1;1;1;0;randonn‚e;ski;;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;80;30;40;;;
1112-05-02;10/03/2012;3;2012;11:25;11;5;ristolas;queyras;pic de s‚gur;44.44286;6.58041;2770;30-34;NO;6;1;0;0;0;0;0;0;1;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;80;20;50;;;
1213-05-07;13/02/2013;2;2013;14:15;14;5;arvieux;queyras;barre noire villargaudin;44.44331;6.44204;2400;30-34;E;2;1;0;0;0;0;0;1;0;randonn‚e;;descente;3;humide;tendre;lin‚aire;accidentelle soi-mˆme;100;50;50;;;
1415-38-04;22/02/2015;2;2015;13:15;13;38;saint honor‚;oisans;combe de la mouche;44.47570;5.50175;1950;30-34;O;4;4;2;1;1;2;1;2;1;randonn‚e;ski;mont‚e;3;humide;dure;lin‚aire;accidentelle soi-mˆme;300;80;20;;;
1617-05-10;07/03/2017;3;2017;10:05;10;5;abriŠs;queyras;crˆte de gilly / grande combe;44.47578;6.57286;2430;40-44;N;2;1;1;1;0;0;0;1;0;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;450;300;150;;;
1415-05-03;21/01/2015;1;2015;09:55;9;5;puy saint vincent;pelvoux;couloir des faveyrettes;44.48371;6.27305;2350;35-39;NO;2;2;1;0;1;1;2;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;400;15;100;;;
1415-05-09;16/02/2015;2;2015;;;5;cerviŠres;queyras;col perdu;44.49172;6.44304;2550;35-39;NO;2;2;2;2;0;0;2;0;0;randonn‚e;raquettes;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;200;70;70;;;
1617-05-12;12/03/2017;3;2017;14:50;14;5;cerviŠres;queyras;face N arpelin;44.4938;6.4420;2500;35-39;N;13;1;0;0;0;0;0;0;1;randonn‚e;raquettes;;2;humide;tendre;lin‚aire;accidentelle soi-mˆme;200;450;;;;
1617-05-01;27/12/2016;12;2016;15:10;15;5;cerviŠres;queyras;petit peygu face nord est;44.503111;6.422583;2570;35-39;NE;5;5;0;0;0;0;0;3;2;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;;40;30;;;
1718-04-01;06/04/2018;4;2018;15:10;15;4;saint paul sur ubaye;ubaye;tete de l'eyssilloun couloir nord principal;44.505423 ; 6.809782;2890;;;4;1;0;0;0;0;0;1;0;randonn‚e;ski;descente;;;;;;;;;;;
1718-05-07;04/03/2018;3;2018;14:15;14;5;pelvoux;pelvoux;la blanche / les essanyŠres;44.5118 ; 6.2749;1990;35-39;SE;2;1;0;0;0;0;0;1;0;randonn‚e;ski;;;;;lin‚aire;accidentelle soi-mˆme;;300;40;;;
1617-38-01;20/12/2016;12;2016;20:00;20;38;saint christophe en oisans;oisans;refuge pilatte;44.521433;6.195273;2560;>45;NE;3;3;0;0;0;0;0;1;2;randonn‚e;… pieds;mont‚e;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;160;450;;;;
1011-26-01;03/12/2010;12;2010;16:00;16;26;ombleze;vercors;roc de toulan;44.53268;5.14054;1000;30-34;O;1;1;0;;;;0;1;0;randonn‚e;;mont‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;40;40;;;
1617-05-04;11/02/2017;2;2017;15:55;15;5;val des pr‚s;queyras;couloir ombilic;44.533924;6.415731;2350;40-44;N;3;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;250;;80;;;
1617-05-05;11/02/2017;2;2017;11:00;11;5;val des pr‚s;queyras;couloir bois vacher;44.542075;6.42146;2270;35-39;O;2;1;0;0;0;1;0;1;0;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;320;;;;;
1617-05-08;04/03/2017;3;2017;;;5;saint chaffrey;pelvoux;couloir NE sous prorel;44.542667;6.345041;2440;35-39;NE;2;2;0;0;0;1;0;1;1;hors-piste;ski;travers‚e;3;sŠche;;lin‚aire;accidentelle soi-mˆme;210;50;40;;;
1718-05-08;12/03/2018;3;2018;12:15;12;5;la salle les alpes;pelvoux;rochers de l'enfer / serre chevalier;44.54445 ; 6.32324;2300;40-44;N;3;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;80;95;;;
1415-05-12;15/09/2015;9;2015;11:45;11;5;pelvoux;pelvoux;dome de neige des Ecrins;44.55232;6.21307;3965;40-44;N;8;8;5;1;4;0;7;1;0;alpinisme;… pieds;travers‚e;;humide;dure;lin‚aire;accidentelle soi-mˆme;220;250;200;;;
1314-05-03;27/12/2013;12;2013;14:50;14;5;la salle les alpes;pelvoux;cucumelle;44.55519;6.31314;2150;40-44;NE;1;1;1;1;0;0;1;0;0;hors-piste;… pieds;mont‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;15;50;50;;;
1314-05-02;26/12/2013;12;2013;14:20;14;5;monetier;pelvoux;cucumelle;44.56046;6.30350;2565;35-39;SO;2;2;0;0;0;1;0;2;0;hors-piste;ski;travers‚e;4;sŠche;dure;lin‚aire;accidentelle soi-mˆme;350;120;60;;;
1718-38-05;14/02/2018;2;2018;14:45;14;38;lavaldens;oisans;vallon guillaume;44.563796 ; 5.55188;2300;30-34;NO;1;1;0;0;0;1;0;0;1;randonn‚e;ski;mont‚e;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;200;10;30;;;
1415-05-10;01/04/2015;4;2015;14:45;14;5;pelvoux;pelvoux;col emile pic;44.57168;6.23123;3420;>45;SE;14;12;6;4;2;2;3;2;7;randonn‚e;ski;arrˆt;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;360;200;350;;;
1617-05-06;17/02/2017;2;2017;12:35;12;5;montgenŠvre;thabor;couloir nord est mont chaberton;44.57578;6.4526;3040;40-44;NE;3;3;0;0;0;3;3;0;0;randonn‚e;ski;descente;3;sŠche;;lin‚aire;;620;50;;;;
1213-38-05;30/01/2013;1;2013;;;38;chantelouve;oisans;voie cros de quinchiol / Gd Armet;44.59016;;2320;>45;SE;2;2;2;0;2;0;2;0;0;alpinisme;;mont‚e;;humide;tendre;lin‚aire;naturelle;;;;;;
1718-38-04;13/02/2018;2;2018;13:45;13;38;saint christophe en oisans;oisans;face est brŠche du rateau;44.5926 ; 6.178;3140;35-39;SE;5;1;0;0;0;0;0;1;0;randonn‚e;ski;descente;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;120;50;40;;;
1516-38-01;13/01/2016;1;2016;15:45;15;38;mont de lans;oisans;piste noire de Bellecombe / montagne de Rachas;44.594159;6.92808;2690;35-39;NE;11;5;4;3;1;0;3;1;1;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle tiers;370;100;200;;;
1718-38-08;02/03/2018;3;2018;16:45;16;38;mont de lans;oisans;piste verte bellecombe 1;44.59576 ; 6.91595;2430;35-39;NE;1;1;1;1;0;0;0;1;0;piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle tiers;90;;;;;
1213-05-02;16/12/2012;12;2012;12:25;12;5;risoul;embrunais parpaillon;crete de razis;44.597714;6.648739;2520;30-34;NO;1;1;1;1;0;0;1;0;0;hors-piste;;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;140;300;190;;;
1617-05-11;12/03/2017;3;2017;13:55;13;5;guillestre;embrunais parpaillon;crˆte de razis;44.598736;6.649510;;;N;3;1;0;0;0;1;0;1;0;hors-piste;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;200;30;50;;;
1213-05-11;22/03/2013;3;2013;13:00;13;5;ceillac;queyras;col tronchet;44.612157;6.847044;;;;10;2;0;0;0;0;1;0;1;randonn‚e;;;3;;;;;;;;;;
1314-05-07;28/01/2014;1;2014;13:00;13;5;r‚allon;champsaur;col coupa;44.617977;6.294951;;;;5;2;0;0;0;2;0;0;2;randonn‚e;ski;;;sŠche;;lin‚aire;accidentelle soi-mˆme;;30;;;;
1213-26-01;09/12/2012;12;2012;;;26;bezaudun sur bine;vercors diois;pas de sierra le veyou;44.636642;5.200644;1270;40-44;S;;1;0;0;0;0;0;1;0;randonn‚e;;;;;;;;;;;;;
1314-05-06;26/01/2014;1;2014;;;5;st etienne d‚voluy;d‚voluy;vallon d'ane;44.637324;5.946325;;;;2;1;0;0;0;0;0;1;0;randonn‚e;ski;mont‚e;;sŠche;;lin‚aire;accidentelle soi-mˆme;;30;40;;;
1617-05-02;29/01/2017;1;2017;11:40;11;5;ceillac;queyras;col des ugousses;44.637802;6.894045;;;;2;2;0;0;0;0;0;1;1;randonn‚e;ski;;2;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1011-05-03;19/02/2011;2;2011;13:10;13;5;orciŠres;champsaur;col de la montagne haute / mourre froid;44.640144;6.396463;2800;35-39;N;6;3;1;;;;0;1;2;randonn‚e;;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;200;150;80;;;
1011-05-08;19/03/2011;3;2011;12:05;12;5;ceillac;queyras;vallon beaubarnon;44.64024419215997;6.838935368106755;2530;30-34;N;4;4;3;;;;3;0;1;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;150;500;60;;;
1617-05-03;04/02/2017;2;2017;;;5;d‚voluy;d‚voluy;vallon pierea d'agnŠre combe sommarel;44.643601;5.903948;2300;;NO;10;3;2;2;0;1;0;0;3;hors-piste;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
